source_id,ngc5694_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
6223462591782735488,4,0.7782777599629318,0.021245675,219.88275822217793,-26.577455911622806,9.755307,-17.787343934611332,0.020857384,-6.781023256492675,0.018842012,7.000911107199836E-5
6223462694862121728,8,0.7282600584871666,0.027817223,219.88442231631902,-26.55802300673863,9.997537,-13.341054902493369,0.028118383,-0.7868213241524264,0.02964927,2.9860944500198577E-5
6223459739924443904,16,2.434577786617007,0.10689685,220.02851366921493,-26.57311630659087,12.051082,-14.337684949364402,0.10283348,-2.6094311892117408,0.09171359,5.953222002469934E-5
6223462862364058240,17,0.8050884344797464,0.025221093,219.93794639630923,-26.556103100463215,11.672691,-1.8625111102395757,0.023070343,-2.520967258347439,0.02043407,1.8904067670041368E-5
6223553645088819456,19,0.4894251896536562,0.03771697,220.0225899247054,-26.543506677813536,11.884504,-7.653693704514508,0.034883372,-5.688116276651971,0.03166887,3.930701343284392E-5
6223461110018190976,24,0.4682699533318047,0.016432654,219.868764027531,-26.587978223761827,12.586717,-7.113223869538835,0.017917277,-4.233905851270052,0.014426785,2.9474658246619076E-5
6223460701997116288,25,0.9444681861045356,0.019316966,219.8653926800989,-26.63337943519506,13.326337,2.355032982073569,0.024779676,-1.4985093084199217,0.018601567,1.6031335106714184E-5
6223459190169174528,26,1.8307760654006682,0.023645911,219.97593052436955,-26.604511200102824,13.210666,7.14742038386189,0.022105135,-4.684359902106167,0.020161143,2.8620932067540913E-5
6223464103609700864,28,1.2075959659134914,0.047511987,219.93091027750373,-26.49820483959845,13.75193,-9.331012844268978,0.053793285,-13.872997882223201,0.036345236,8.472965716672666E-5
6223464103611796608,28,1.1049694093059628,0.061278716,219.93088861794757,-26.49791086439861,13.821092,-9.307113380437588,0.050711203,-14.045332106738442,0.03845972,2.3440868229591407E-4
6223476816714535936,29,0.986094633528801,0.019764863,219.78227811463276,-26.45253799504863,13.858998,-21.088364437095528,0.020681875,-5.597561976095612,0.017511377,8.655462255048837E-5
6223475992080813440,30,0.261289161984408,0.015146915,219.7964694238612,-26.464434651522414,13.334674,-2.7113221913975307,0.016858494,-3.4922615282977647,0.014411729,1.4056034736571876E-5
6223464103611796608,31,1.1049694093059628,0.061278716,219.93088861794757,-26.49791086439861,13.821092,-9.307113380437588,0.050711203,-14.045332106738442,0.03845972,8.00512519029043E-5
6223459185872053632,32,0.27019486854909164,0.025462886,219.97890451627825,-26.617688794475036,13.871291,-0.966493325422243,0.024495563,1.961429812674733,0.021625655,1.5626075296676137E-5
6223463382057291392,33,0.6152697002108662,0.028812962,219.94379630093914,-26.492145927688522,13.8010435,-5.510971444336212,0.025724206,-14.502142460675683,0.023507634,7.923082564960302E-5
6223461389191889152,35,0.5090832681538022,0.035352886,219.80514299257126,-26.616850369712093,14.7089405,-3.560352408237962,0.036594573,0.9339753094273112,0.030224195,1.2119643930618026E-5
6223458296815425408,37,1.7454512651090912,0.045700535,219.96301241334842,-26.641058451460488,14.491439,-2.4157368956405034,0.03828371,2.2345582126236168,0.036584944,2.24993199337127E-5
6223460667637377792,38,0.5031205424714422,0.033184014,219.852203780074,-26.637922589193515,14.7233095,-8.195695653126002,0.03578214,-5.325898896985881,0.03211188,3.694121102531369E-5
6223463966172372608,39,0.7664979575208882,0.039987043,219.91090283806565,-26.518091462397198,14.536062,-3.9771273087348806,0.03678131,3.154631736140459,0.03443142,2.0639484076588313E-5
6223463725654205952,40,1.0819566308507418,0.026471589,219.83911768106614,-26.528205433628315,14.68406,1.2449578537590096,0.028646085,-20.49009346342886,0.024028515,8.555293672738534E-5
6223461767149013632,41,0.793403417825544,0.029635152,219.81015375949116,-26.605189716651857,14.779731,-9.591925663646808,0.031551827,2.9510338461778653,0.025900953,4.149377570143024E-5
6223462557423001088,43,0.6790640605778173,0.043554097,219.9248699915946,-26.553487702599778,14.8126,7.105941479216923,0.040692642,2.1411156247931986,0.038539942,2.3899564097679496E-5
6223462832300931968,44,-0.0183331913851257,0.07075336,219.90457764161653,-26.537965026973417,15.033906,-0.412363800988597,0.065347545,-0.7626593663314312,0.06412652,8.366911370618014E-6
6223475648483425408,46,3.4206423893469236,0.023041785,219.82686268405058,-26.49585442033753,14.2645445,-28.418104637671647,0.028250016,-6.184631586438781,0.021606203,1.2539460647621582E-4
6223462832299305088,47,0.03629176052764669,0.054194756,219.90042938492792,-26.541857375243847,15.020605,-0.39864177918914623,0.050881356,-1.0183837126007784,0.047318235,1.0275220542989576E-5
6223462626142645248,49,1.8160432517634348,0.041904766,219.89224844417453,-26.57356944655566,14.763059,8.416801055281043,0.040056147,12.437976393023844,0.04262794,5.7887176647966806E-5
6223462832299362432,50,-0.05127931947905914,0.044719137,219.89713015273057,-26.53258435398614,14.995642,-0.5425545790232539,0.041675683,-1.1294439086083048,0.0390217,1.4256906237720143E-5
6223461870228235392,51,1.0877012499458776,0.032717675,219.81836158520926,-26.577578617335018,15.023495,-7.118505954932271,0.03556506,-8.824423132281755,0.028899373,4.8888693055928826E-5
6223557081062661120,52,0.25357968173063833,0.037213955,220.00717163627158,-26.488323249059004,15.056375,-15.488369310217966,0.03962712,-7.361641001477896,0.036026806,4.4932914254207445E-5
6223464103611797248,54,0.5387644603581213,0.042890437,219.9256603291662,-26.493950273082188,15.155823,-13.072421287131146,0.04547175,3.397890880672074,0.04090872,6.338768357239531E-5
