source_id,am1_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
4829790406249501824,1,10.376780959313677,0.010612224,58.614749360843376,-49.50956286710546,11.261509,22.877459414654886,0.012849589,42.330594469759426,0.015262119,2.474369086843359E-4
4829789959572906624,2,2.3677205090948052,0.025379123,58.587309335787765,-49.54308024123051,11.224359,-2.4833464200495237,0.030515527,-3.859713989990156,0.03715954,6.486483818390087E-5
4829779308054012032,3,2.3259918247296407,0.009062089,58.70660457495713,-49.69837491215376,12.124516,45.068214437278996,0.010360874,15.646925934255439,0.01222578,2.5777342111854123E-4
4829786042562727808,4,1.604990376402693,0.011855652,58.72228809729073,-49.60768099813542,12.306946,12.760953389915542,0.014188679,26.943219384357093,0.016584238,1.0381194106999805E-4
4829772676624494080,5,1.3087618809477815,0.0123434225,58.94014878249975,-49.702069052467344,12.712309,-2.838590758116531,0.0154630905,-9.12395576090115,0.01685942,7.896408005141267E-5
4829787893692204672,6,1.9050157140034474,0.010676661,58.85104681076778,-49.54642477185214,12.680985,4.700036432218664,0.011984274,12.543125557117563,0.015324844,8.281170203011376E-5
4829786042562727808,7,1.604990376402693,0.011855652,58.72228809729073,-49.60768099813542,12.306946,12.760953389915542,0.014188679,26.943219384357093,0.016584238,2.318691300807349E-4
4829773982294556160,8,1.672918776129573,0.0111568915,58.806047908067036,-49.63359604538046,12.988036,7.955812861080885,0.012572636,19.23369197172171,0.015400968,1.0690195510405295E-4
4829788241585973760,9,1.6479953088776869,0.0096701225,58.80920057923282,-49.510389133282736,13.031084,11.332843271020321,0.011344272,23.56987684619009,0.013828161,1.7231857076951195E-4
4829790303170285568,11,0.731029565281312,0.011458872,58.645799848463426,-49.50524559643918,12.740995,3.1878703003305695,0.01306817,2.554903551499331,0.016400639,3.44787131510395E-5
4829773741776385536,15,2.331927565679098,0.009806737,58.87484593374419,-49.66451391347302,13.211283,7.613619651494327,0.011156085,-9.901709857373644,0.014548956,6.373041520611436E-5
4829788104147018496,23,0.5185581215420699,0.029299445,58.85269250440685,-49.50262521976702,13.612529,9.361643346676715,0.035010956,8.321206136647032,0.042164445,9.467989001036505E-5
4829786180001677824,65,0.5108554109569228,0.036576588,58.75665099222392,-49.579293690807546,13.646795,-2.2937390649019247,0.043008417,-11.919418791252117,0.050007984,6.769018917214501E-5
