source_id,m14_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
4368926048724427008,1,0.26700489664852106,0.115975074,264.6011605579359,-3.297529098958904,17.799189,-6.528607891727,0.12369393,1.3025539466127665,0.09018217,2.6286962014352736E-5
4368923235526962048,2,0.19876041905689415,0.06684066,264.60033738840116,-3.3793777461718832,16.783083,0.17612529356896914,0.071623385,-1.5421940969855021,0.053368617,4.092360923843312E-5
4368930240611837184,3,1.6140609859779118,0.015480858,264.59913179819085,-3.1912596201071586,13.504642,4.282040592901945,0.01577883,0.7508369888675331,0.01266499,2.6912612496273344E-5
4368926461041361280,4,0.186649458802132,0.14750805,264.59907426306773,-3.257138420780483,18.232965,0.1375421731565883,0.1866112,0.268490371166867,0.13423128,1.1140995116733014E-5
4368923201167218944,5,0.48864179400732377,0.09683593,264.59886777694095,-3.3918381271550757,17.384787,-3.0583845207697786,0.10079682,-6.783009108751506,0.07587757,7.05009876149335E-5
4368929901316287872,6,0.15197455334341536,0.029673412,264.5983896414957,-3.2232298867594564,15.019989,0.24747160767195597,0.029863043,-9.057114487001911,0.025397293,5.882257523887447E-5
4368926151803676032,7,0.5273822898075315,0.092493236,264.598480087594,-3.2824153116999435,17.511654,1.274230151159995,0.10052538,-10.854677086765363,0.07492958,4.894560120788872E-5
4368925945645177344,8,0.13505870976265968,0.020159686,264.5984874428526,-3.3116798835880226,14.342681,-7.44124800813903,0.0215977,-13.59330085581373,0.016205965,8.322906368375281E-5
4368735146017155712,9,-0.0016701599629971517,0.19405733,264.597738243351,-3.399066842546569,18.52051,-2.296740519141657,0.19035,-0.4137955372813549,0.15576348,4.52520921750232E-5
4368926461041363328,10,0.4412819675416275,0.05766346,264.5971781973031,-3.2554949609427615,16.66846,-0.664511647654467,0.06218887,-3.102489275501669,0.047300432,1.2429696652256016E-5
4368926392321870080,11,0.23484678366977743,0.3268427,264.5968257220072,-3.2658354424741742,19.358385,-0.7461070722502136,0.34805,-4.932140193536598,0.27327043,6.760320694436648E-5
4368954571608482560,12,0.8273848216167561,0.03829784,264.59652804956744,-3.1550521001368073,15.62938,0.8875125431512341,0.03602546,-10.567484374088659,0.030211888,7.749756125129499E-5
4368926461041374208,13,0.33738640371301204,0.16301712,264.59637426451343,-3.248669116832757,18.517351,-1.3004699408844602,0.16439204,-6.969749305474003,0.13140945,3.0186150956827173E-5
4368967181632571008,14,0.8532715536412138,0.041517045,264.5956469943492,-3.0962388636596074,15.93908,1.5968003564185291,0.044924576,-5.33023979262263,0.034345385,8.702759737461962E-5
4368955048343311872,15,0.28443800587994694,0.24984697,264.59486838629283,-3.104180420162831,19.060976,-4.288540115122613,0.27236795,-7.3012969602132385,0.21935458,1.0877897886636589E-4
4368923716563327872,16,0.6338675696667683,0.070289604,264.5955144502531,-3.3303583199431666,16.76608,3.278292489693879,0.074209645,-10.589197777370021,0.054443344,5.858975928805596E-5
4368926053025553024,17,0.18158747103919384,0.06615097,264.59511530117646,-3.3019056244080103,16.836807,-6.560287705740215,0.071998775,-5.583609531266112,0.053317934,4.846852150927271E-5
4368735047237902208,18,0.17234809001084686,0.03722377,264.5952770269794,-3.4212707186993168,15.564962,-4.966290427490266,0.038457155,-3.1735486006107907,0.029545652,7.110902098113127E-5
4368735146017160448,19,0.07821170719984369,0.17267247,264.5950886135254,-3.397287058158438,18.405037,-5.182100971266561,0.181677,-5.260638815843122,0.13775171,5.728668823028964E-5
4368926357962117120,20,0.38370409763141355,0.10939798,264.5947819356429,-3.275472864305433,17.723269,-0.37415811770054436,0.11737626,-2.0522447387617277,0.0874434,5.410188798260146E-6
4368923304246445056,21,0.17696934867882458,0.09981813,264.5948888780056,-3.3760280381718704,17.498451,-3.1275061933984425,0.104265146,-6.158771776942479,0.07866298,5.4110662214916334E-5
4368926053025553664,22,1.410531595714124,0.034188997,264.59448439350086,-3.3009078821005398,15.567712,-4.05888473744855,0.03633195,0.6667469602816465,0.027180588,1.568931305051572E-5
4368929901316292736,23,0.3204787758600141,0.019817946,264.5941678472028,-3.2201239502674004,14.183703,-1.7464399654945826,0.018677082,-5.238524383893296,0.015466117,4.308738243831677E-5
4368735146017160320,24,0.5479166355522301,0.12717377,264.59456822388177,-3.3962083803273724,17.92802,3.1013573709922126,0.14083754,-1.5519510150632552,0.10336278,2.526600739261655E-5
4368930103175743744,25,0.6318876303246621,0.19310065,264.5931929648057,-3.2094907322911115,18.682087,0.8249179775439894,0.2040557,-4.64716221633484,0.16398352,3.889162152456359E-5
4368734733700228992,26,0.6785438421517822,0.093646705,264.59372362087413,-3.4353656867704263,17.40714,3.5656265807785634,0.10678175,-3.1512536551782806,0.07913566,4.46943012456633E-5
4368955052644884608,27,0.5735857534865992,0.06835017,264.59260475884054,-3.110522641978932,16.958618,-8.409756783774238,0.07246482,-2.0635965902638156,0.05669962,8.533526352730189E-5
4368923712262145280,28,0.4814953352630782,0.058875613,264.59321401103716,-3.3300931954553,16.541946,-0.9116838991570155,0.061713923,-5.54956121004044,0.04644565,3.754772649806507E-5
4368929897015244928,29,0.2664016078121832,0.118581384,264.5928115078188,-3.218317776288234,17.933722,-3.0587014541289075,0.11705812,2.6147482994320024,0.097910315,4.6596713722898496E-5
4368929798237069440,30,0.2188232525370986,0.07136456,264.59276159951105,-3.2367952439892154,17.010668,0.5860847163081689,0.06958302,-8.586386126184452,0.05817712,4.0492526338543596E-5
