source_id,m79_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
2957940510718786304,5363,-0.25401984172572273,0.29151464,81.02046715262563,-24.531946750069395,19.260118,2.6518292052020738,0.19413401,-1.908891583423034,0.26551318,2.1138883804814855E-5
2957940441999352704,5364,-0.12872756996671533,0.44236162,81.02034501321972,-24.536784559027016,19.204645,2.3754256623587278,0.8055246,-0.920213674974387,0.652256,1.4869443430798426E-5
2957941094834133248,5365,-0.19636745103751035,0.34739152,81.02051492654259,-24.513003984143882,19.609238,2.11498755773339,0.23862936,-1.390329282614642,0.2964176,4.641951806363484E-5
2957940407639717376,5366,,,81.01996610258865,-24.55563170831104,20.871914,,,,,2.057159639008851E-4
2957940407639717504,5366,-0.33432152928429704,0.3269508,81.02024368454329,-24.555726254248565,19.548857,2.2763293264586957,0.23617075,-1.0055359887322874,0.27124763,6.40207474703015E-5
2957940437703744000,5367,-0.0588400167252511,0.09469291,81.02029664477938,-24.536530437803815,16.613756,2.754320112184673,0.07760224,-1.3708498175359425,0.08118105,1.197224909984364E-5
2957940441999413760,5369,0.5142201695742548,0.24996513,81.02024427384056,-24.54479702073158,19.316944,2.4286100338220757,0.18795401,-1.5892645986658724,0.22645606,1.76387196615748E-5
2957940888677307136,5370,-0.2929059384524002,0.4578865,81.02037563172122,-24.517427686401962,19.836876,2.8644474042822754,0.2978348,-0.42940025934944953,0.57917047,3.199540245777164E-5
2957940510722531584,5371,0.06943182703763463,0.04378349,81.02028001867863,-24.52978009063415,16.471975,2.6151961722981425,0.035694588,-1.6381863345643213,0.04355479,1.2194561128632975E-5
2957940888679881856,5372,-0.7348289106473317,0.30654648,81.02035160132544,-24.519270837770947,19.15874,1.9727349469147701,0.23769295,-1.8567797974170421,0.28980938,3.9982192543980364E-5
2957940441999422208,5373,1.4291602469353415,0.82279587,81.02014889623932,-24.54675766091849,20.56947,3.2604274404714735,0.50928473,-1.2279138165854864,0.6886695,1.826961426044417E-5
2957939647432013824,5374,0.17826771919320583,0.21308963,81.0200570248438,-24.559306997634845,19.0859,2.396149678047076,0.15958719,-1.7240196320673808,0.19464278,9.402842501923484E-6
2957940510718817152,5375,-1.5675917807848259,0.9115089,81.02029900287313,-24.535058054917208,20.295424,2.11120392119953,0.531619,-1.5207493353189694,0.9308567,1.4992709959852043E-4
2957940888675834112,5376,,,81.02013071604378,-24.525370000677306,20.512028,,,,,1.4778525066946223E-4
2957940888679647872,5376,,,81.02018324616758,-24.525164192884166,20.355425,,,,,7.606889053964228E-5
2957940888679649536,5377,1.3963225624751843,0.596934,81.02012606572511,-24.52650070309333,19.865692,2.822517936643157,0.443914,-2.6213241576393056,0.7618301,2.708996889139709E-5
2957940510718786176,5378,2.188992049258223,0.8408453,81.0201189384408,-24.53166872089424,19.815645,3.1389427599094093,0.6304363,0.11634591532893215,0.9126085,7.324674709585629E-5
2957941094834117888,5379,0.2442839851726569,0.3241638,81.02014938803009,-24.511159537136646,19.567583,2.9277375748621557,0.23335016,-1.0936412113054115,0.2730881,2.1910696878588007E-5
2957941129193795328,5381,-0.32757713341322203,0.25934443,81.02021149857335,-24.500636697159596,19.269287,2.3066981639701942,0.19621396,-1.751286179053034,0.22207457,2.713237350065867E-5
2957940441999410688,5382,0.22514559485751895,0.3536294,81.01991363568551,-24.544011228335062,19.628935,2.5656386167880068,0.2436618,-1.386318559064184,0.32392958,1.6109172436653675E-5
