source_id,m14_1_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
4368940312309525504,7780,-1.4690595131687552,0.5579809,264.3694032108635,-3.269616755333944,19.632162,-3.8893803082614826,0.46871272,-5.305146894421395,0.39895782,4.652593848340536E-5
4368940720334744448,7781,0.29210519616648084,0.115091145,264.36929922299,-3.2293015703867702,17.515213,-3.384628769665783,0.11030623,-5.283080628286503,0.09482229,5.120460271082488E-5
4368940346669510016,7782,-0.4074289575873566,0.42731366,264.36931165410016,-3.2579105145205465,19.245886,-4.005242098213816,0.41367862,-5.166745011204773,0.33508977,7.977026124715187E-5
4368941514901237248,7783,-0.11700402906018281,0.45682046,264.3692404692727,-3.210711930702545,19.451372,-4.153545080110794,0.42752123,-5.467490927787768,0.31924272,2.9975601168258427E-5
4368940312309602304,7784,1.2257073366509712,0.5371715,264.3693415786603,-3.266153706764523,19.669258,-4.096489104987934,0.4656574,-3.470162759769876,0.39447212,5.684146123792641E-5
4368940346669606912,7785,-0.9962945867263451,0.19137895,264.36930643356584,-3.2547715345576367,18.336414,-3.88600385171365,0.17252699,-4.327752504761227,0.14103548,3.229709141283123E-5
4368940655907560704,7786,1.6818742030227194,0.47070816,264.36928851377496,-3.2370652019868666,18.779825,-2.898831794824807,0.43184015,-3.174259427459506,0.3425789,3.379869232519942E-5
4368940552828218624,7787,,,264.3692540359039,-3.2451358015660587,20.046593,,,,,4.551283740232242E-5
4368940243590018048,7788,-2.177774103001895,0.38943374,264.36932614907965,-3.2714941874122476,19.145672,-2.6949224195576944,0.37469387,-5.682020518402829,0.28692725,7.70663039388446E-5
4368922406592113280,7789,-0.06887839423413665,0.22818312,264.36941060685336,-3.3176573537860063,18.600037,-3.624970036628106,0.20490672,-4.92498951512135,0.17019469,4.32406316832385E-5
4368940346677298560,7790,-0.01743253675233386,0.08622555,264.3692474632804,-3.2598923979666377,16.951105,-3.3487518162443273,0.08177884,-5.152405722224419,0.06470228,4.789511722531383E-5
4368922513964058240,7791,0.7533336025292956,0.23922624,264.3693784412725,-3.3167629278121433,18.803886,-4.002652380718053,0.21792433,-5.040738306883456,0.17564476,4.3314889517083044E-5
4368940724629500288,7792,-2.0409833112905624,0.68399036,264.3691624172021,-3.231451916792678,19.126257,-2.9069821026484526,0.73750246,-8.84817291985253,0.62837946,3.364470907258153E-5
4368940239298407040,7794,-0.046252227766379134,0.036724642,264.3692021241827,-3.279228610560007,15.219278,-3.452263134971073,0.034047343,-5.370846960077688,0.026237596,3.821529061719154E-5
4368940655907554432,7795,2.7624706713567657,0.6480815,264.36910917652864,-3.238322133893907,19.566471,-4.861757769940523,0.64073074,-5.7431796862513105,0.50786644,5.672535065716021E-5
4368940724629517056,7796,0.5322930965258347,0.33035573,264.36904973319014,-3.230830408089305,19.09662,-3.473870190011359,0.31039906,-4.444331424747719,0.27313814,3.695983005691562E-5
4368941892865657216,7797,-0.0354053486072229,0.05952443,264.3689565561778,-3.1981646020977115,16.381264,-3.6291733320018116,0.05427102,-5.114448252687014,0.04172691,3.4642713748109374E-5
4368940346669598080,7798,-1.7132643847995765,0.75062686,264.369062345103,-3.2528840407303985,19.493399,-5.220081018485158,0.67369086,-8.262040349806801,0.5564912,3.848223854200985E-5
4368942369599794048,7799,0.4206048696271449,0.19733895,264.3688375036506,-3.158865474576906,18.571594,-3.773879896238734,0.18528324,-19.348749789437313,0.14668442,9.581811612741103E-5
4368941957283440128,7800,0.15210183386321688,0.21748094,264.36887812028954,-3.190503446908081,18.652636,-3.5261919810053115,0.21249954,-5.105524433887976,0.16584837,2.931413889118582E-5
