source_id,rup106_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
6078934876393625472,717,0.39767892983485026,0.10462734,189.72931044947532,-51.18933289063062,17.991585,-5.305183520127124,0.09605358,0.05164512899556652,0.08300612,2.8458024133451843E-5
6078933605083293184,718,0.55143393286911,0.044400223,189.70280125594726,-51.189401627869486,16.293344,-13.335902727100795,0.039428417,1.7978109145600283,0.03337769,7.000254336635721E-5
6078980338631206144,719,0.36231202239337934,0.06570739,189.59042911387732,-51.1897284600846,17.076872,-8.694595935470137,0.06199022,0.16732353260699406,0.051822342,4.49960189632075E-5
6078934193504302592,720,-0.05561863716956497,0.1809882,189.7842162587981,-51.18904462443408,18.876644,-7.660442376666166,0.1814867,-0.4721224379692448,0.15054579,3.7016961347855684E-5
6078934120476838272,721,-0.20071799395463685,0.22855064,189.79353988422906,-51.188827967130955,19.209496,-7.352897489449696,0.23153248,-1.485974783112262,0.17848162,3.74090733584643E-5
6078934811968115200,722,0.4273877631635902,0.18547438,189.74580082102858,-51.188870576998404,18.906168,-7.491969943049805,0.17022757,0.24762540139939648,0.14644809,3.2596466477311827E-5
6078934330931827328,723,-0.10114745266257015,0.17088409,189.84107223741256,-51.188395289726564,18.715046,-5.258191512569959,0.15507454,-0.3060629598073025,0.14845602,8.060023262518697E-6
6078934330939839744,724,0.14048011180657366,0.18389438,189.8419783101855,-51.188325196275244,18.866264,-4.517971412186279,0.17078294,-0.003938646894838633,0.16662058,7.260935490732371E-6
6078980991466233984,725,0.25772280903361877,0.07555458,189.5265530916436,-51.189162007903846,17.27531,-9.799662204251224,0.07384456,-2.316211726778615,0.061091978,4.285920590476193E-5
6078933570723552128,726,0.23697408631302144,0.13665949,189.68104977351712,-51.188554836646,18.350891,-8.50883857332863,0.12821376,-0.611683279644961,0.106018476,3.668437862014849E-5
6078980128169043584,727,0.5304594283303701,0.10876574,189.60424353584352,-51.18858683589699,17.986155,-17.421681854841072,0.10846246,0.6428223946284857,0.08834824,9.383740017510601E-5
6078933609385322880,728,0.22056097140550737,0.073544376,189.70441674776427,-51.18827278225147,17.281065,-6.970073517771755,0.06680464,-0.6747448109457506,0.058800332,3.130885880313287E-5
6078933536363815168,730,0.2997731047452708,0.31614083,189.65992358064406,-51.18813365936877,19.423296,-0.3089864163183095,0.3308495,0.410392442581512,0.25714803,1.824624124236359E-5
6078981055881984000,731,,,189.5051798008353,-51.18846280854274,18.295345,,,,,6.824375629870124E-5
6078934807674134016,732,0.2105890482865034,0.12640622,189.73813545744395,-51.1876274391312,18.290014,-6.852966058960205,0.117445365,-0.09584424749743915,0.1027825,3.656832043099533E-5
6078957798632973312,733,0.2522959028023544,0.15068598,189.476462451551,-51.188235037128266,18.493551,-0.9251242838215183,0.15091857,2.9282769047309385,0.12232739,3.960776845502169E-5
