source_id,pyxis_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
5623105912761264896,679,1.033378142791545,0.48592994,136.89323129152058,-37.28904592847524,20.22076,-4.648158336083332,0.45279336,5.100471206115161,0.51373035,2.3725032670659093E-5
5623105947115989376,680,0.03564236196659505,0.34460372,136.88026300597406,-37.289072408798766,19.761206,-3.191572872826475,0.30515727,1.1302068103976586,0.3577479,7.91720463243006E-6
5623105259926227328,681,0.23043813178337658,0.028241323,136.92674370457152,-37.28889321840154,15.601438,-4.255697706199607,0.025967017,4.412982840504951,0.030080268,2.592810076572046E-5
5623105363000178048,682,0.7076986142885472,0.38173285,136.98776194313714,-37.288641797610666,19.921503,-0.6884706806638001,0.34493226,2.5227892268616525,0.408299,1.1592786870954649E-5
5623105947118865792,683,,,136.87386343245535,-37.28880493379577,20.934235,,,,,1.8028080849970505E-5
5623105221266734208,684,0.7957028577568387,0.4055827,136.9455069534934,-37.28869341378955,20.053766,-3.8230825288778205,0.3588433,2.3916584433507753,0.42430973,2.4396737466937494E-5
5623058839918266368,687,0.38455494999743367,0.041757517,137.12961203467617,-37.28800910135629,16.618755,2.4811485246587806,0.04222133,0.8735304808031119,0.046278015,2.5442116789504437E-5
5623105328645693312,688,0.5834510734055879,0.03996427,136.9778043593013,-37.288403536219484,16.459541,-6.022187391870322,0.039477624,2.7933074835041456,0.0469223,4.2674294811807425E-5
5623058496316951424,689,0.15506540521718393,0.15663426,137.02851768438077,-37.288259895651066,18.765392,-4.116547390924038,0.14397056,3.303542335405133,0.18685642,2.429548708325296E-5
5623105942821241088,690,0.385058242129529,0.11767046,136.87225412451747,-37.28844612700573,18.21144,-3.3689609465904296,0.10793274,0.5716880014235378,0.11911403,1.049068924546894E-5
5623059041778377344,691,0.14961057393141458,0.12767783,137.11908832506057,-37.28782299914244,18.537199,-3.9745216474501808,0.12736602,3.4520307624348185,0.14135256,2.1477686253648554E-5
5623105156847017344,692,0.07568578273101272,0.06985544,136.91014130882107,-37.288225858135334,17.32011,-3.763793997012283,0.06241068,5.750955885385423,0.07975121,2.7226694724320948E-5
5623100312123923712,693,0.30815272685407613,0.09133901,136.84150612951518,-37.28828799009424,17.852644,-4.693478368155356,0.08384038,2.390188413740073,0.10938021,3.6386465747599674E-5
5623059080436454528,694,0.6959648244604634,0.04185837,137.0896467886971,-37.287633087704165,16.630308,-3.3310918062148844,0.04284575,2.584161476554871,0.046147257,1.8619981667783946E-5
5623058492025756416,695,0.3636663298497913,0.4845373,137.03734037732275,-37.28757390419278,20.2669,-3.1542455611444105,0.46565711,6.652288798634127,0.5246894,2.473661431772132E-5
5623105259927776896,696,-0.2784113695579286,0.6065615,136.91548111180535,-37.28765151114704,18.138102,-12.945678313523523,0.56601346,7.375428072252456,0.70465326,5.4246930566473734E-5
5623105874101769344,697,0.185740166949704,0.015696885,136.88978319799546,-37.28766322659496,14.103623,-4.268145883528708,0.0141685875,4.3323760703188965,0.01663608,2.9794762616064533E-5
5623105259921132288,698,0.27233054663209816,0.12897916,136.91674447417586,-37.287613785689004,18.450193,-4.074574659919712,0.11804152,2.4170023243987364,0.13500577,2.01352971976388E-5
5623058526382297856,699,-0.03762827758356436,0.3105202,137.01900683929617,-37.2873055986621,19.756561,-2.237054231025698,0.2899003,2.863793982269406,0.32514256,1.2258868689912797E-5
5623105186907000576,700,0.17453042534862434,0.19847116,136.93458119677004,-37.28731699299159,19.054909,-3.211184982542015,0.18238585,2.7087156101472085,0.20107889,2.1255170669783985E-5
5623105255626477440,701,0.29118412942790844,0.28145924,136.9297856765592,-37.28729614959243,19.507742,-3.2328237206333528,0.24529527,1.7621913002749379,0.28333652,2.282119750118655E-5
5623059733271489280,702,-0.6714545586785208,0.28466302,137.07909886421015,-37.28679153014743,19.655106,-5.5289052387625945,0.27710947,1.3716117929902534,0.3445175,3.2129941088422824E-5
5623059080436451328,704,0.09128292915859425,0.06469645,137.0946134536521,-37.28664688321833,17.01161,-2.5343825019420114,0.06633642,3.079400236068584,0.0714011,1.7039176300885197E-5
