g,ra,dec
18.37013628,255.89455815793303,-26.32456249307816
16.14669852,255.89468537488335,-26.272133474539515
18.89867996,255.8941959499417,-26.34586927094103
17.99260136,255.89421020335135,-26.333172144508797
17.84286688,255.89423742244273,-26.326046880134633
18.05970696,255.8937050878994,-26.383811375565575
18.4065552,255.89433180768233,-26.272792347190013
15.25151692,255.89346835156394,-26.40913011040998
18.8431614,255.8934997318813,-26.368408638011356
17.86761328,255.89417744236556,-26.244775315316065
16.43031412,255.8945312465357,-26.182047272442254
17.451169319999998,255.89352589149354,-26.34216509765076
15.947242,255.89352869574407,-26.33460706554557
18.81790316,255.89313560118572,-26.392373662950384
18.821139,255.8938199146337,-26.276515166134473
16.9729218,255.89420910138412,-26.208500092403884
17.656185920000002,255.89346328595852,-26.321598925989143
18.455939519999998,255.89397552201913,-26.233601710787116
18.686862400000003,255.893058440609,-26.372833072651698
17.2086344,255.8929087556051,-26.394453217051545
12.523454880000001,255.89319133069208,-26.336568906405518
15.571453640000001,255.8936549813345,-26.258609130862894
16.327988320000003,255.8942657381014,-26.15656045764753
17.343363319999998,255.8939467730907,-26.2075447063699
18.84762084,255.89372652415747,-26.241154191201776
18.59432692,255.8936609425876,-26.236803070803962
16.260811519999997,255.89247785383048,-26.42942989187936
18.02646796,255.89355634946523,-26.235526841782114
13.1362764,255.89220304291942,-26.451604596303895
16.07710424,255.89330014461297,-26.26712698059956
19.42298556,255.89327181133334,-26.264994265503866
17.866030040000002,255.89260427002478,-26.351183607390166
17.37826868,255.89282002011456,-26.315693603649024
17.04797688,255.89290413055744,-26.283448694716803
18.997775999999998,255.89313048710838,-26.244520877461156
14.90390932,255.8918746047617,-26.44839795357507
16.73961136,255.89228793668664,-26.37077307901802
17.32234768,255.89411515974723,-26.068840348409925
18.84587216,255.8927419463608,-26.281286025062663
19.4612688,255.89279738590133,-26.272158178335566
18.53822748,255.89306418401387,-26.227568412627967
18.322599680000003,255.8921882334231,-26.364946857356447
18.7228304,255.89163060144293,-26.4540246248481
19.24946808,255.89287431021947,-26.23840118316736
19.30890484,255.89160652019487,-26.44496931059027
15.18814992,255.8934364827758,-26.143413791181036
18.53542816,255.89361627654887,-26.105518983913846
18.2542178,255.89253677922798,-26.27632168936641
14.05507196,255.89235263228352,-26.297162530084925
18.09941912,255.89152117507544,-26.426149758693274
18.007308400000003,255.8916002607655,-26.407330959111174
18.36959792,255.89157377249393,-26.410393194567195
18.4910698,255.892420712696,-26.27133374702792
17.2580246,255.8935377675539,-26.072550427109768
18.92657516,255.8927259240109,-26.201975387381715
18.34128196,255.89242926278885,-26.246115735316682
16.77238096,255.89174452288924,-26.357829855082443
17.97932704,255.89275255888634,-26.19247688742613
17.54812512,255.89211716874075,-26.294933453284898
18.8059262,255.89219297210627,-26.275666484257012
18.75835272,255.892194359179,-26.26918656760757
16.79107144,255.89179750215254,-26.333724022198112
18.48003928,255.89232668913877,-26.233405411143213
16.967057439999998,255.8928341476281,-26.149193303605188
19.4992938,255.89189285251302,-26.301863070856577
16.39970996,255.89306948763812,-26.10367481063038
17.82857516,255.89312717331984,-26.077532806602406
18.83504568,255.8913164245525,-26.369161451525436
18.41145884,255.89094073582993,-26.417895064503792
16.2844184,255.89099756527511,-26.407864543049726
16.566357,255.89078017153295,-26.434973639033032
18.54996176,255.89159539095738,-26.299551600565042
18.56920016,255.89216105287835,-26.205045425071003
19.128994799999997,255.8906475901252,-26.443599088844447
19.43092224,255.8916485373657,-26.26209275174012
17.2982912,255.89063659707568,-26.427057450280735
18.4160854,255.8912013899358,-26.33286152286329
17.740561839999998,255.8915155984223,-26.27353643214272
18.94855776,255.89146094559436,-26.266823712731316
