g,ra,dec
17.56249652,226.13022704487273,-32.9885080833293
17.10792892,226.12915459807036,-33.126162610504245
18.26849308,226.12962668265274,-32.970719837917244
17.49124088,226.1283587950628,-33.136737513097195
18.419666959999997,226.1281136426116,-33.16944042560352
14.681628920000001,226.12893240780903,-33.039250123484244
20.044893400000003,226.12891340005373,-32.99752198451743
16.81960192,226.12813055422703,-33.09420965023238
16.39703696,226.12794130351634,-33.11639938246084
18.888740520000002,226.12730936763487,-33.17670612565867
18.47061932,226.1272256032122,-33.05635589549029
18.563253839999998,226.12606128530322,-33.082111826852056
18.24122868,226.12664719689238,-32.998047928945816
12.993323559999999,226.12532571581252,-33.122543533206304
19.33622132,226.12481488940605,-33.15728652689879
99.9999,226.12504459821596,-33.12238954091364
19.37406444,226.12480782050454,-33.10690275234427
18.71157052,226.12431118084444,-33.07922828720648
18.84176544,226.12350349969776,-33.16890898657322
18.879628920000002,226.12419065266005,-33.072881469809104
18.218531719999998,226.1237680181304,-33.072084858542624
18.39896764,226.12388785612924,-33.05342915615651
19.00516652,226.12335941113523,-33.098322682689435
18.6466614,226.12368672428286,-33.04326728357605
18.78952532,226.12306580655405,-33.06895877978691
18.81989732,226.1224719386857,-33.132094302116144
19.922862799999997,226.12317895303144,-33.03338194985284
19.231801559999997,226.1229442583423,-33.02567440928819
18.813474000000003,226.12251416207502,-33.07406254078776
18.74154192,226.12327199608023,-32.96495799517772
18.12834264,226.12293748084684,-32.96405640050902
18.927211720000003,226.1222578330811,-33.04796342491529
14.74101852,226.12182194231818,-33.08111336044119
18.797624520000003,226.12131946625934,-33.14553511022938
16.72853384,226.12119798525924,-33.08388549278502
19.34027092,226.1204537648317,-33.12742564826285
18.82088392,226.12040959683674,-33.107791305472084
16.09794532,226.1204118087211,-33.09279442190479
19.3086614,226.120538826501,-33.04473515510174
17.52354916,226.1198114363252,-33.1272454846427
19.46765096,226.12086643489604,-32.98261903562489
17.89032272,226.11972715808426,-33.12749255665071
18.63462812,226.1195037608221,-33.14398980104133
18.48935984,226.12033803469046,-33.01551212308609
19.21270852,226.12011710472072,-33.00253223572813
19.15398932,226.12030318713448,-32.966864558607895
18.37343104,226.11965195248456,-33.01160393829315
18.88064132,226.11819861952063,-33.17849757224381
18.54047492,226.11819791883093,-33.177452531502354
19.23903092,226.11818538857585,-33.17671304338252
17.848481919999998,226.11865449714801,-33.097192861571116
19.13070412,226.11840429757143,-33.1100251093658
17.464457,226.1185079104373,-33.07150160665786
16.68178092,226.1188224205014,-32.99793644827717
18.2417558,226.1176340430882,-33.149271580353584
15.01328248,226.11757264917563,-33.13741640393608
19.72347164,226.1182009895889,-33.01017061703996
17.94084232,226.11777053385083,-33.06730799514522
19.871780920000003,226.11692197895124,-33.12313023719943
19.52554012,226.11704602451857,-33.1023928353116
101.0081378,226.11689713918366,-33.05973380766275
18.3464472,226.1169291253832,-33.00731106235015
18.3033858,226.11587954780512,-33.14297944637054
19.112480920000003,226.11529609033363,-33.12796255988626
18.70650852,226.11528785397192,-33.11817580732251
18.54557356,226.11513756443364,-33.02757050224577
18.2587586,226.11419173044513,-33.131679530400866
17.45592344,226.1152313678541,-32.97491798810257
18.76826492,226.11349794157,-33.14754276832767
17.668431039999998,226.11439346948478,-33.00715430100988
16.46815936,226.11345000482805,-33.10301901355883
19.069630319999998,226.11406060675827,-33.01909581901998
19.28762612,226.11405674808066,-32.99024614059407
17.31965644,226.11247871065137,-33.12044693131979
19.44556052,226.1125191627606,-33.09166170746871
19.426583200000003,226.11212553300763,-33.122158148860116
18.90088932,226.11282220469212,-33.0195781709989
18.63304384,226.11132850723087,-33.169578153957055
13.56900048,226.11217005292193,-33.04140359780092
14.55540696,226.11137921889878,-33.119349078418004
16.90237892,226.11150274597958,-33.08595724696448
18.23675492,226.1112120157387,-33.07936256744716
17.599135280000002,226.1104915582253,-33.170762723387874
19.10757872,226.1116536708043,-33.00380627758198
16.772717840000002,226.11066785816507,-33.118858088517094
18.36735452,226.11054830674402,-33.06003298157407
18.281116400000002,226.11000715728758,-33.12952391029171
18.3047412,226.11051817917144,-33.02730758739802
