g,ra,dec
19.17752132,189.56230520734005,-51.279940748861726
17.69275408,189.58951450336025,-51.279792106125846
17.79682008,189.81404114617308,-51.27885455632797
19.30271652,189.80545210876028,-51.27874581006411
19.13460508,189.69819896810682,-51.279170061501915
13.578462159999999,189.67744841106094,-51.27908248272782
15.37549848,189.81980783526356,-51.27843307296818
16.5192184,189.76016270335822,-51.2786326661646
20.1692276,189.60069504944363,-51.27867052615619
19.6374976,189.7172088070706,-51.278156994589615
17.48273684,189.70171482580938,-51.27812573717552
16.34229624,189.73652040999184,-51.27799208631804
18.52325112,189.54984210344747,-51.278337550269754
19.54821948,189.59041664643226,-51.27785840943602
16.61186664,189.83814343839336,-51.27683726092112
16.696517880000002,189.83330169703,-51.276852971631335
18.689908720000002,189.52674894314094,-51.27774348077179
19.66358888,189.7480844328345,-51.27692890714463
17.34944652,189.593417037287,-51.27700698580839
17.85964892,189.76633001228484,-51.276211727121954
18.05599568,189.6686097742981,-51.276393425995764
20.00059684,189.80174283503115,-51.27585402504074
18.767725719999998,189.574039611343,-51.27663615494536
16.93419432,189.7405681662843,-51.276070695014894
19.18682224,189.66075893600762,-51.27631331627349
19.3898598,189.49687108193646,-51.276663348524735
17.11439116,189.61629798695213,-51.27616129945017
19.982540559999997,189.65676289318844,-51.27593469474033
17.941594799999997,189.70528776573312,-51.275706517839204
19.04401404,189.67128543334044,-51.27581310799269
18.34938004,189.6593120451482,-51.275437957581694
18.00403632,189.69788946753445,-51.27523425699193
18.67190456,189.8136395580464,-51.27474772499511
19.087054119999998,189.5075646857083,-51.275742847550426
19.32048644,189.58388520839094,-51.27552547648729
17.73027684,189.74812659608662,-51.27477870519722
19.13981268,189.66680917045798,-51.275019418597225
13.265707520000001,189.72682246606752,-51.27479573794694
19.439919999999997,189.6245564576733,-51.27498835406636
19.22262648,189.62848432363845,-51.27496418146382
18.24853948,189.85759382743436,-51.27380444832378
16.30528292,189.7839481753168,-51.27408926313487
14.24615336,189.63359836259866,-51.27451525786402
19.29110196,189.69279351399098,-51.274004883931404
16.38395272,189.772612795084,-51.273631789447194
17.87805088,189.60369006174406,-51.27420859809647
18.879336159999998,189.83556000939055,-51.27330344937032
15.16371112,189.71264042061665,-51.273749310307196
19.928380039999997,189.5099875668506,-51.27427841059907
18.580885119999998,189.6478369758441,-51.27383419116572
18.43884164,189.50346164156772,-51.27413365784883
19.387408960000002,189.78890114513382,-51.27293941774017
18.88059376,189.50879075473813,-51.27370957568443
17.575810360000002,189.77817722339535,-51.27272681250836
18.89051,189.61658422502208,-51.27321894628025
20.05195056,189.78807158571465,-51.27252395549622
16.34600592,189.71209080083483,-51.27281796710402
19.00597016,189.69794636979609,-51.27279412803407
14.5854282,189.56750158220322,-51.27232657793514
20.03653032,189.85906645142586,-51.27089725643714
19.51033708,189.7137654752614,-51.27149805711246
18.26265916,189.51296610367092,-51.27203495095597
19.16765936,189.7301630777757,-51.27127685918243
19.34220656,189.73172365389198,-51.27093450721252
19.30676652,189.65923096217838,-51.2710198819358
18.60519812,189.69018403703234,-51.27086424773883
19.866681840000002,189.65329525770272,-51.27082268026139
16.10899244,189.75627980006732,-51.270279529277126
19.324131599999998,189.5044272400981,-51.2707499382942
19.693722639999997,189.67351996719637,-51.26985518343099
19.3198422,189.61337046225486,-51.26988623281242
17.41541272,189.67633321194072,-51.269176279432564
18.34454376,189.63901554792645,-51.26926643025601
19.553586759999998,189.8054999190814,-51.26832419672359
18.51347384,189.56831876690356,-51.26913083602131
19.78787704,189.4935196084351,-51.269219664696486
19.00995868,189.52657861196568,-51.26901056079537
18.916890520000003,189.50686671965946,-51.26901037777417
19.172937440000002,189.75352479934642,-51.268120553194095
17.749796519999997,189.72192056669383,-51.268238333531116
18.020597719999998,189.7210016134321,-51.26795445750341
17.614880120000002,189.843261470329,-51.26736533336408
17.98459772,189.63394847177318,-51.26813048931232
19.871314599999998,189.77755963520818,-51.26729695679504
17.9755754,189.78997023283299,-51.26717004333327
17.31066008,189.53632699528518,-51.2678477647467
19.94601404,189.73045512533585,-51.26697288968535
15.59103056,189.71033698041887,-51.26696965666697
18.70834676,189.51268906813667,-51.26746096482102
18.92880856,189.69454594375267,-51.26657023787749
18.855280800000003,189.73689433948755,-51.26625608139445
19.50705484,189.6370596080071,-51.266566453130885
19.09973596,189.7700616693851,-51.266072350147866
17.11556516,189.8448002541769,-51.26559284445839
17.1312666,189.8271917451975,-51.26562706097595
18.96764804,189.77324228893812,-51.265667993197006
18.25890076,189.8417299206495,-51.26535197717378
17.06424896,189.55877270700321,-51.26570215064878
19.84697016,189.68303473377833,-51.265246772255686
19.494227600000002,189.51270914708235,-51.2655621533829
18.42301184,189.74751689430028,-51.264839065027566
19.185064519999997,189.54991412790253,-51.26542927079331
19.91881272,189.83358321908796,-51.264201977962344
19.329124599999997,189.78301187441951,-51.2644136629121
18.28245768,189.56214625406813,-51.264916484019054
18.40062952,189.78796651776847,-51.26369453091108
19.76351,189.50065116262837,-51.264551331993225
17.76056232,189.60185070959517,-51.264192581467505
18.72603848,189.74656493919912,-51.263589745736255
17.84026444,189.66142799834867,-51.2638236819413
17.59628816,189.62607394421966,-51.26385795317511
19.20656304,189.80400193224747,-51.26314930519555
19.27731996,189.73145283222468,-51.263286224955046
18.41418084,189.63896613115872,-51.26360079704832
17.92329392,189.70399982586198,-51.26305879138649
19.7280978,189.51681657899007,-51.263444764386655
18.13625112,189.54914255520342,-51.2633156252303
13.60260436,189.84124822208892,-51.26216015762911
16.77077996,189.56866343288166,-51.262845029008865
19.45347116,189.58404736469296,-51.26279176560571
19.4686022,189.55618000126142,-51.26278207966298
19.00408376,189.7117179732259,-51.26214764012478
19.47813468,189.6184099036748,-51.262452333300736
16.680089520000003,189.5654938631576,-51.2625574316029
19.215529399999998,189.6833940936422,-51.26217770494976
19.53131676,189.84955819592307,-51.26127539044233
19.07753012,189.5376525522159,-51.26233858069391
19.296087559999997,189.74214936365087,-51.261579262607704
18.85603544,189.82635281518182,-51.26073441899596
17.870361680000002,189.6310559147904,-51.26133238193355
18.172873999999997,189.68941576771064,-51.261052032643576
18.52626356,189.8016642068091,-51.26048420786641
18.38571548,189.60993616605919,-51.26102471433558
17.78985548,189.57205641007218,-51.26093979626592
18.775654160000002,189.76480244993255,-51.25982298227707
14.05877512,189.56312212032756,-51.26013664678042
17.419500640000003,189.8446253943364,-51.25901894914705
20.11619812,189.62786404115693,-51.259742170998564
18.22160596,189.8623261522489,-51.258466731639984
19.23223084,189.5626353475633,-51.25935490620198
18.346781959999998,189.80604502940716,-51.25848871720855
17.886724440000002,189.51897602764268,-51.25932882595523
17.984399240000002,189.8440006188818,-51.258193227926874
16.2650194,189.7827110232012,-51.25799529466274
16.830621439999998,189.64386728327128,-51.2584904860422
17.91635252,189.6410747453202,-51.25842718289003
19.76148964,189.48567535987394,-51.25869337865398
16.984243040000003,189.586708685521,-51.2584475133928
19.14355492,189.83747004510874,-51.25723469915178
18.577930119999998,189.70569798645184,-51.25765020683375
19.69714596,189.57638812667466,-51.25804515380656
15.79981252,189.69043960246225,-51.257491550675105
18.5014444,189.6930899814415,-51.257297273195334
18.274855640000002,189.77781432222991,-51.25690312590521
15.2697992,189.69177761043696,-51.25679596357782
17.669014,189.6224275747607,-51.25680811466056
17.57192592,189.64063686209963,-51.25643429078631
19.29977568,189.50058954803814,-51.25663940729387
18.28561712,189.73904827539624,-51.2558667346817
17.670931160000002,189.729001665676,-51.25569990620355
19.85368276,189.52942279929556,-51.25628993989444
17.42392808,189.74142553419995,-51.25563763998092
18.98417868,189.86259295841785,-51.254912103066815
19.41665004,189.53740516118216,-51.256008634848826
18.26155476,189.48192219186055,-51.25609155987547
18.25678808,189.65664931392175,-51.255654409904935
19.47001404,189.81815345142786,-51.25498187979361
18.08004888,189.71358838560252,-51.25534099808237
16.56525328,189.6517965169956,-51.25548890634674
19.91210212,189.7558312520393,-51.25509021283485
18.29113464,189.8224119615883,-51.25473567048781
18.83738,189.81692804684596,-51.25459745179709
17.29756516,189.77019002499378,-51.254696256275324
18.38692592,189.7343299038193,-51.25473217608541
19.367732,189.48079464906627,-51.25533211726813
17.69998652,189.5333355930414,-51.25520642423998
18.75797216,189.63210076473354,-51.25493245904863
18.22455348,189.71258804084474,-51.254348136490194
19.07441488,189.5313070812352,-51.254848695413365
19.61888012,189.70748337820174,-51.2543063527234
17.55588512,189.80072898233993,-51.253902069843285
18.35951196,189.63667518192725,-51.254343766235685
18.51230756,189.66432060081078,-51.25413264783133
17.39943628,189.85816565857863,-51.25328764971301
14.76352004,189.52409778778534,-51.25443469017774
17.64245552,189.6970309472484,-51.25388874100402
19.295336159999998,189.52921266275308,-51.25419706614628
19.07398332,189.66588903060403,-51.25374703732116
17.31849056,189.50144983904895,-51.25413732117103
19.324183,189.73844538279565,-51.25332525238491
18.60997412,189.61163021293902,-51.253561419983185
17.23584,189.82518495655708,-51.25271237356973
17.346573239999998,189.57072294802444,-51.2533332955118
19.084094920000002,189.85882281614764,-51.252225312931934
16.422898439999997,189.8200119936295,-51.252347470465736
17.815995519999998,189.5350861502785,-51.25306852002439
19.5537156,189.5689526216282,-51.252979674220406
18.21211108,189.8454101949581,-51.251922704453214
18.76451844,189.61623010098688,-51.25274953041087
18.22895472,189.6226546154509,-51.252496174952654
18.346551679999997,189.81252838161686,-51.25166242120667
17.71993924,189.8153700422372,-51.25164601159826
18.73711112,189.6556708815106,-51.25210567036823
18.332360599999998,189.72907701426868,-51.25164329036753
18.73276164,189.52750609824687,-51.25194427282927
17.13507336,189.51210677400852,-51.25193421857655
17.764048719999998,189.57168356921878,-51.25159426847497
17.73170304,189.73634621170982,-51.25102782618343
18.35219108,189.61475211793635,-51.25142382346821
17.4648598,189.64918531291366,-51.25119043246315
17.65230148,189.64736034445556,-51.251093265918094
17.68709168,189.47245015022335,-51.25148806666786
19.275005919999998,189.57819576327952,-51.25124524266799
17.14581252,189.73962384677046,-51.25064780328991
18.45861624,189.69558281927152,-51.25068495803748
19.54931996,189.8542155635568,-51.249943006655435
16.37805088,189.69766365820416,-51.250460587668
16.70032588,189.54939762298744,-51.2508928113155
19.5416398,189.62966303303085,-51.25067689476669
18.34642296,189.8023800995869,-51.25002188961947
18.85601312,189.84650715856753,-51.24974666008218
16.476476920000003,189.8305415719426,-51.24976663577215
19.718691,189.58761282496306,-51.250229713256054
19.259242,189.67891591933568,-51.249832218051914
16.5947584,189.59182622896842,-51.249971569252814
17.9411652,189.59434636497954,-51.24993406560446
16.94297412,189.53616180110262,-51.24983086410094
18.977465040000002,189.6762884698547,-51.249405333075174
19.78368184,189.66955053024915,-51.249391266496495
19.42832792,189.83766748776134,-51.24865107352731
18.2858066,189.51550805829706,-51.24971013598631
15.639412720000001,189.60662741423826,-51.24944888049899
19.2449292,189.57855696189375,-51.2492802765252
20.391414,189.8295083700455,-51.24836223293975
17.73838,189.5117024207023,-51.24932124359868
16.94788012,189.61594316412587,-51.248984693746024
15.892804439999999,189.7208874109993,-51.24861211110953
18.46585332,189.85073380199995,-51.247963527716124
17.17686572,189.82216487590696,-51.24766215696978
17.56093924,189.60843230632588,-51.248427624235816
19.77651196,189.7443474010356,-51.24784168704263
18.83601116,189.85701179713183,-51.24732609509178
18.532993519999998,189.78863414174725,-51.24716763878717
19.54146,189.73553203886524,-51.24732477092515
17.346009,189.6990519447431,-51.24729955138899
15.86070752,189.7763466818595,-51.24697367427786
18.54879008,189.7940920849751,-51.24682041387239
19.691363680000002,189.63805950498832,-51.24733309174388
18.483065959999998,189.81413065207977,-51.246524676482274
19.7688954,189.71197670159322,-51.24689007550882
17.687245200000003,189.54508413266777,-51.247261839495934
16.24729932,189.4914932237676,-51.2473459305364
19.224107319999998,189.73330662664557,-51.24657421131341
17.32192216,189.48134490969687,-51.24709490072558
19.74080948,189.7277823480358,-51.2464041941795
17.648576480000003,189.5726625534532,-51.24680805326784
16.137098679999998,189.68431941007083,-51.24626645567962
19.25999248,189.86293992086595,-51.245464237139224
17.533740079999998,189.62914743038561,-51.24629588042832
18.45113052,189.82140660885676,-51.245209293190136
19.38195488,189.7652703793471,-51.24539141487262
19.62108164,189.5600915056908,-51.245743256749094
17.05105088,189.8405884679733,-51.24450770360944
18.515051959999997,189.57386863213762,-51.245433082319444
19.753489520000002,189.85747871110308,-51.24431464724451
19.87895056,189.69701816805582,-51.244919863753616
17.464311719999998,189.7572267801786,-51.24465805146911
17.8370836,189.53084352323162,-51.24532948691421
19.108929200000002,189.59820865289478,-51.245050103824745
17.848586559999998,189.73305281347135,-51.24439676733096
20.25670324,189.79408930550076,-51.24411486433952
20.15037088,189.5235646517492,-51.24491258205178
17.88078196,189.81484780380018,-51.24386874713001
19.59495056,189.4752764423477,-51.24465073267745
18.19597108,189.59657321275014,-51.24409147653853
16.1209096,189.56954226606024,-51.24389625296127
18.22024196,189.85285465563962,-51.24257738225279
17.35878896,189.71806817765489,-51.243133971974714
14.7633074,189.7637516536014,-51.24292432044223
16.13082276,189.61059867844614,-51.24338575356649
19.52644656,189.7661975346547,-51.242813468051324
19.72109492,189.51388270812805,-51.24339431229209
17.25731764,189.68869033439697,-51.242847882018864
17.90886664,189.60603737609827,-51.24301173918289
16.74190276,189.6266439151763,-51.24278290161147
18.75771548,189.76969626392616,-51.24202987353463
17.32927684,189.6452976053909,-51.24242284088052
18.564164320000003,189.5325590933587,-51.24271582379699
14.01327036,189.755798209038,-51.24194372548236
16.8948742,189.50016272253453,-51.242703899985706
18.42233708,189.86069484923638,-51.24134548163584
19.171234039999998,189.6043000285799,-51.242311138774085
17.7972556,189.69409803549001,-51.24196568032278
18.957192,189.57658945632713,-51.24230602110279
19.58664804,189.65051508045343,-51.24200595010144
17.01323172,189.8015429127391,-51.24117036059346
17.90989844,189.66549839853778,-51.24165953237468
19.21426084,189.72746260088022,-51.24134985024991
18.20432592,189.7250690818653,-51.24134719414293
17.26044652,189.60545705750152,-51.24172604250735
19.62543324,189.55224753107478,-51.24177990827551
19.19879924,189.6498793601751,-51.24148823683046
18.2933288,189.84582485438793,-51.24044765747198
18.595779840000002,189.7326355801233,-51.24067715953221
18.67425544,189.52482304536562,-51.24115756507971
18.87257236,189.56010741332102,-51.24097880960803
19.87254272,189.72553248293687,-51.24039076305832
19.16841488,189.82501474975945,-51.239840183388544
16.921317799999997,189.63162684005385,-51.24047722581416
19.11711416,189.7791303833749,-51.23961196694296
16.851382,189.54144481090196,-51.2403264789301
19.34808864,189.52029443945062,-51.24036675605808
18.885369960000002,189.68280496098413,-51.23986091226012
19.6629006,189.78666099734897,-51.239348621130404
19.62308756,189.83862413219597,-51.23899772227236
18.60223188,189.81086468101893,-51.23910773368878
17.820098679999997,189.52478168890872,-51.23994404668089
16.07348948,189.55836878479374,-51.23978849044952
19.869669440000003,189.4797124935334,-51.239774924366074
18.24431548,189.4708758462518,-51.23954487425958
17.11503848,189.55158247556886,-51.2390957758487
18.56837732,189.82740700280505,-51.238087968687495
16.24869388,189.51052129176085,-51.23914796302552
18.2748846,189.82656882588938,-51.23775197304742
19.298255440000002,189.4750037240015,-51.23884492301324
16.17534512,189.70170818496322,-51.2380829572158
18.35603488,189.51059158451594,-51.23859376792324
17.93589628,189.8025853829604,-51.237638266550285
17.02791984,189.74049311512726,-51.23786813939325
19.329167560000002,189.72960872998945,-51.23783386955169
18.668294120000002,189.83700595584062,-51.23732066463349
18.9940712,189.73676882324253,-51.23768162101756
18.19700592,189.58526610919736,-51.23812470787609
18.618918039999997,189.75551250039783,-51.23751805320618
19.046557080000003,189.681217340055,-51.237703208321335
16.93339116,189.6640423718259,-51.23751572613116
14.32062736,189.55799620088246,-51.23779030964896
20.18265128,189.83445100458198,-51.23657032969375
17.866011320000002,189.4869352809509,-51.23764623379686
19.55979924,189.71445520969272,-51.23690371573575
17.553779799999997,189.82631276214704,-51.23631295946283
18.903277,189.83931969692998,-51.23613896301222
18.299628639999998,189.51772568872025,-51.236860922974365
15.68822956,189.83776728858436,-51.23574363683221
17.46673484,189.70893968967363,-51.23622198288612
16.25329408,189.49211672113077,-51.23674088605033
17.52253552,189.49090978583794,-51.236679058598234
19.32487704,189.83600368228986,-51.23543883973046
19.68592,189.75787449365257,-51.23514613572898
18.04003632,189.6729912965944,-51.2354054853261
19.49000396,189.7367754717772,-51.23515634207086
18.207487320000002,189.84814599420045,-51.23451078090127
14.44083392,189.7033042868715,-51.23506624068369
18.99821752,189.8026955457402,-51.23432267189537
18.421049800000002,189.8639401441869,-51.23398182603482
20.0337656,189.7569882480267,-51.23438761485141
18.85429248,189.6627161211723,-51.23465107050898
18.745852439999997,189.60533106261207,-51.23468882268299
18.73091032,189.71958598619247,-51.23423905854658
19.819114159999998,189.8215709464057,-51.23375859628206
16.347992440000002,189.79786736820037,-51.23371332403561
19.990423,189.74629448535563,-51.233702772234686
16.54786356,189.49498798633954,-51.23439257986341
18.97876652,189.75171168527186,-51.23362655300755
19.1987156,189.5169471765247,-51.234338881709505
17.446929,189.49865106953757,-51.23433081903575
19.72833112,189.5510427893283,-51.234202729302474
18.11412872,189.73557341611257,-51.23359167152789
19.26257848,189.62870149479184,-51.23383854888172
19.0078882,189.54961626620667,-51.23396534973065
17.81807928,189.58565955757084,-51.23382932667566
19.24025636,189.66733058477877,-51.23351869986453
19.17266028,189.53875833687715,-51.23378620032973
17.87310284,189.62788775629187,-51.2334662606273
17.01614164,189.58425517584786,-51.233462524770566
18.61839548,189.6977761054649,-51.23305198634846
19.13790872,189.80246917615327,-51.2323101956346
17.4905416,189.84844250175445,-51.23183662885085
18.547789520000002,189.74466936351715,-51.23205505782991
17.54498744,189.47554084307183,-51.23270107602278
18.48366224,189.83461900322123,-51.23150424002874
17.467496519999997,189.8642317594885,-51.23119357809247
19.264078400000002,189.58797516728978,-51.23223194896432
19.033992440000002,189.68182203778753,-51.231747457371874
19.4494782,189.66751418645836,-51.231763098114534
18.91719904,189.81670062674914,-51.231114006522255
19.006842199999998,189.80055201373054,-51.23113741787168
18.928723559999998,189.79077106231136,-51.23108721054083
13.86774224,189.84473525811995,-51.23081238116967
18.5528986,189.4808072123379,-51.23199969820648
15.038459999999999,189.85916624063066,-51.23065899788447
18.41602428,189.47797054806054,-51.23153273614512
18.5504444,189.5355946536556,-51.231161687459014
19.323054839999998,189.6464817267196,-51.23070504395634
18.718242,189.78690976191265,-51.22998979718126
17.458629520000002,189.78529093905647,-51.22989798378129
17.9795436,189.80435997510415,-51.22981340615838
18.023071360000003,189.75951519321737,-51.22977999476502
18.63941472,189.52549661296075,-51.230502304866754
16.42400592,189.76810151542588,-51.229635774180124
19.91823084,189.54716454416834,-51.23020164437466
18.97208164,189.62350438890834,-51.22995485351286
16.87547924,189.62470081267256,-51.229850522350034
19.93709996,189.5871771511621,-51.229925389779616
17.51231996,189.6551981773584,-51.229578855652655
18.28801924,189.50583866130674,-51.22992740435288
19.855735959999997,189.7108048192604,-51.229151110429505
18.17145768,189.73925150510536,-51.22821057215832
15.87067248,189.47754032701334,-51.22891546137797
20.251821879999998,189.7100909856565,-51.228141937083805
17.705420800000002,189.7435659121098,-51.22797255264328
15.65818876,189.55292927525434,-51.2283621410241
17.71946808,189.64038889090966,-51.2280279061345
18.039898439999998,189.65022370723025,-51.22786268014516
15.78245568,189.68730730134862,-51.22757693501733
