# #,RA,Dec,(B-V)0,Mu,Mb,Mv,u,B,V,I,E(B-V)=0.01, m-M = 15.55
1807,81.058569,-24.516246,-0.39,2.74,2.65,3.04,18.3452,18.2600,18.6306,18.1549
2038,81.056043,-24.539113,-0.06,0.81,0.18,0.24,16.4171,15.7788,15.8270,15.9514
2693,81.049718,-24.538930,-0.37,1.94,2.47,2.84,17.5439,18.0807,18.4271,19.0826
4561,81.032323,-24.519964,-0.44,5.11,3.60,4.05,20.7208,19.2206,19.6387,18.8474
