# SiegelIndex,RA,Dec,(B-V)0,Mu,Mb,Mv,u,B,V,I,E(B-V)=0.38, m-M = 14.49
308,259.808814,-18.507906,-0.09,0.42,-0.12,-0.02,16.8932,15.9849,15.7158,15.2696
498,259.796889,-18.508317,-0.62,1.37,0.43,1.05,17.8494,16.5799,16.8096,15.1386
517,259.801545,-18.514657,-0.09,0.79,0.27,0.36,17.2675,16.3755,16.1009,15.3889
569,259.797012,-18.514624,-0.18,1.23,0.39,0.57,17.7035,16.4991,16.3113,15.6393
598,259.790762,-18.514076,-0.11,1.30,0.16,0.27,17.7717,16.2640,16.0066,15.3736
608,259.800831,-18.526711,-0.45,1.42,1.21,1.65,17.8986,17.3391,17.4007,15.8270
674,259.806261,-18.520096,-0.29,1.37,0.85,1.14,17.8416,16.9712,16.8864,16.2969
849,259.800377,-18.511200,-0.46,1.46,0.73,1.19,17.9413,16.8624,16.9384,16.0331
1623,259.796661,-18.520906,-0.33,2.04,1.76,2.09,18.5144,17.8855,17.8377,17.7871
1939,259.797733,-18.512591,-0.29,1.67,1.48,1.77,18.1425,17.5953,17.5114,16.9947
2012,259.810591,-18.537162,-0.46,2.38,2.47,2.92,18.8524,18.6001,18.6725,17.6215
2487,259.803011,-18.558921,-0.53,2.90,3.04,3.57,19.3753,19.1780,19.3183,18.5085
3604,259.808233,-18.529094,-1.03,3.81,3.37,4.40,20.2869,19.5572,20.1665,99.9999
7522,259.823549,-18.494046,-0.55,83.52,3.54,4.09,99.9999,19.6825,19.8399,18.4579
