## Cluster   RGC      RSun  DELTAR  [Fe/H]     MV   E(B-V)  M_GC  Delta M  M/L  Delta M/L  Age     Mini    Error   Ltime     Error   chi^2  rlhp    rm    trh    NV  alpha_s   vesc   v0esc   sig0    rmin    rmax      l       b
##  (1)      (3)       (4)   (5)      (6)     (7)    (8)     (9)   (10)   (11)    (12)     (13)    (14)     (15)    (16)      (17)   (18)   (19)   (20)   (21)  (22)  (23)     (24)   (25)    (26)    (27)    (28)     (29)   (30)
  HP    1     1.57    7.00    0.14   -1.12   -6.63   1.12   5.14   4.28   3.59   0.50    12.00     6.12     5.36     2.93     0.50   0.66   3.10   4.19   9.01   144   0.18  20.251  31.012    5.38    0.72    1.67  357.43    2.12
  IC 1257    19.00   26.59    1.43   -1.70   -5.58   0.73   4.26   3.56   1.26   0.25    12.00     5.67     5.00     1.00     0.29   0.00   4.14   5.66   8.85     5 -99.00   6.666  10.512    1.71    1.01   20.07   16.53   15.14
  IC 1276     4.63    4.55    0.25   -0.75   -6.72   1.08   4.83   3.80   1.63   0.15    12.00     5.42     3.78    10.53     0.45   0.10   3.20   4.65   8.96   333 -99.00  14.118  22.948    3.68    3.69    6.93   21.83    5.67
  IC 4499    15.70   18.89    0.25   -1.53   -7.25   0.23   5.18   4.40   2.20   0.37    12.10     5.53     3.28    48.85     1.37   0.08  10.26  14.96   9.97   208  -0.98  10.541  22.786    2.93    6.68   28.58  307.35  -20.47
 Lae    3    58.75   61.77    1.65   -1.80   -2.85   0.00   3.44   2.74   2.31   0.46    13.00     4.21     3.73     6.65     2.45   0.00   7.12   9.31   8.89     9 -99.00   1.941   2.959    0.51   16.94  500.00   63.59  -21.18
 Lil    1     0.87    8.06    0.34   -0.33   -9.03   3.30   5.88   5.09   2.18   0.35    12.00     7.18     6.87     1.56     0.72   0.46   0.97   1.32   8.47    64 -99.00  99.467 211.039    3.49    0.09    0.85  354.84   -0.16
 Lyn    7     4.47    7.90    0.16   -1.01   -6.88   0.73   4.83   3.96   1.40   0.19    12.50     5.65     4.10     4.80     0.19   1.42   3.91   4.97   8.97   276   0.42  12.795  22.461    3.44    1.79    4.38  328.77   -2.80
 NGC  104     7.80    4.52    0.03   -0.72   -9.32   0.04   5.93   3.74   1.84   0.01    12.40     6.23     2.23   105.22     0.10   0.62   4.03   6.43   9.70 22602  -0.77  47.195  97.825   11.79    5.46    7.51  305.89  -44.89
 NGC  288    12.43    8.99    0.09   -1.32   -6.76   0.03   4.98   3.57   2.22   0.09    11.70     5.60     4.10     9.28     0.52   1.02   5.84   8.56   9.49  3820  -0.77  10.905  16.021    3.09    1.93   12.34  151.28  -89.38
 NGC  362     9.79    8.83    0.10   -1.26   -8.40   0.05   5.40   3.59   1.27   0.02    11.00     6.06     4.84     7.68     0.73   2.05   2.21   3.36   9.00 11541  -0.44  33.783  50.934    8.51    0.73   11.84  301.53  -46.25
 NGC 1261    18.43   16.40    0.19   -1.27   -7.80   0.01   5.24   3.51   1.54   0.03    11.00     5.75     3.98    13.81     0.53   1.43   3.25   4.86   9.21   499  -0.59  21.412  30.986    5.66    1.64   21.07  270.54  -52.12
 NGC 1851    16.93   11.95    0.13   -1.18   -8.38   0.02   5.44   3.56   1.43   0.02    11.30     6.03     4.23    11.24     0.36   2.09   1.74   3.04   8.95  8809  -0.74  40.936  82.222   10.20    0.90   19.90  244.51  -35.04
 NGC 1904    19.36   13.08    0.18   -1.60   -7.67   0.01   5.27   3.84   1.84   0.07    11.70     6.44     6.10     1.77     1.02   1.30   2.55   4.58   9.20   314  -0.79  25.785  68.750    6.36    0.30   19.57  227.23  -29.35
 NGC 2298    15.33    9.83    0.17   -1.92   -6.34   0.14   4.70   3.47   1.70   0.10    13.10     5.78     4.95     2.38     0.44   0.29   2.41   3.20   8.58   290   0.13  15.255  25.188    3.85    0.97   16.49  245.63  -16.01
 NGC 2419    96.23   88.47    2.40   -2.15   -9.39   0.07   5.89   5.07   1.60   0.24    12.75     6.16     2.50  1558.85    42.31   4.16  19.76  26.37  10.63   183  -0.97  18.188  38.895    5.07   96.04   96.98  180.37   25.24
 NGC 2808    11.75   10.06    0.11   -1.14   -9.56   0.22   5.91   3.91   1.41   0.01    11.20     6.30     3.96    30.58     0.52   2.05   2.45   3.75   9.32 20045  -0.64  53.841  98.059   13.97    1.08   14.59  282.19  -11.25
 NGC 3201     9.20    4.74    0.04   -1.59   -7.35   0.24   5.28   3.50   2.54   0.04    11.20     5.59     2.52    67.10     0.40   1.20   5.17   8.68   9.66  7248  -1.10  17.119  39.594    4.42    8.34   25.52  277.23    8.64
 NGC 4147    20.89   18.54    0.21   -1.80   -6.11   0.02   4.65   4.04   1.89   0.46    12.50     5.47     4.07     4.79     0.26   7.55   2.53   3.47   8.61    41   0.01  14.208  27.054    3.55    1.83   25.27  252.85   77.19
 NGC 4372     7.46    5.71    0.21   -2.17   -7.62   0.39   5.28   3.84   1.97   0.07    13.00     5.75     3.77    20.46     0.57   0.39   5.77   8.34   9.63  2045  -1.00  15.463  26.835    4.39    2.88    7.26  300.99   -9.88
 NGC 4590    10.48   10.40    0.10   -2.23   -7.25   0.05   5.11   3.77   1.89   0.09    12.20     5.46     2.65    55.12     0.48   0.81   4.44   7.27   9.48   720  -1.27  14.787  26.545    3.96    8.88   29.37  299.63   36.05
 NGC 4833     7.34    6.48    0.08   -1.85   -7.86   0.32   5.27   3.61   1.56   0.03    12.90     6.01     4.40     6.44     0.24   1.06   3.26   4.58   9.15  1144  -0.27  22.219  33.957    6.00    0.85    7.62  303.60   -8.02
